DATE,TEMPERATURE,HUMIDITY,PRECIPITATION,INSOLATION,LENGTH
2023-05-02,15.3,67.6,0,25.83,20.44
2023-05-03,17.1,65.3,0,28.49,20.55
2023-05-04,17.4,76.5,0,24.76,20.55
2023-05-05,16.2,99.1,43.3,0.46,20.65
2023-05-06,11.1,100.0,44.3,3.15,20.75
2023-05-07,11.0,80.6,0,7.73,20.75
2023-05-08,13.3,49.6,0,29.78,20.75
2023-05-09,17.9,40.0,0,29.95,20.75
2023-05-10,16.7,61.4,0,28.13,20.86
2023-05-11,14.8,60.4,0,28.02,20.97
2023-05-12,16.0,79.1,0,24.91,20.97
2023-05-13,15.0,90.0,0,4.94,20.97
2023-05-14,16.4,90.8,0,28.03,20.97
2023-05-15,18.2,77.4,0,24.91,20.97
2023-05-16,22.8,59.6,0,28.42,21.12
2023-05-17,25.8,36.9,0,29.66,21.27
2023-05-18,20.3,70.0,1.3,10.33,21.63
2023-05-19,17.5,83.5,0.0,27.15,21.63
2023-05-20,17.4,82.9,0,22.7,21.63
2023-05-21,20.3,69.4,0.0,24.44,21.89
2023-05-22,16.8,73.9,0.0,9.52,21.89
2023-05-23,16.7,54.1,0,30.14,21.89
2023-05-24,16.4,76.3,0,27.07,21.89
2023-05-25,17.4,79.3,0,27.74,21.89
2023-05-26,19.4,72.0,0.0,22.82,21.89
2023-05-27,19.8,84.4,0.0,7.18,21.89
2023-05-28,17.9,0,43.8,1.56,21.99
2023-05-29,18.1,0,18.5,5.22,22.09
2023-05-30,17.3,0,0.3,17.54,22.3
2023-05-31,18.3,56.0,0,30.89,22.3
2023-06-01,19.2,78.9,0.0,22.15,22.3
2023-06-02,20.8,60.8,0.0,29.49,22.56
2023-06-03,20.7,56.0,0,31.25,22.71
2023-06-04,23.8,37.8,0,30.54,22.86
2023-06-05,24.2,46.6,0,30.19,23.01
2023-06-06,22.3,62.0,0,27.38,23.27
2023-06-07,22.0,69.1,0,28.82,23.53
2023-06-08,21.8,74.6,0,22.88,23.68
